date,direction
2022-05-25,270
2022-05-26,200
2022-05-27,270
2022-05-28,230
2022-05-29,270
2022-05-30,250
2022-05-31,230
2022-06-01,270
2022-06-02,270
2022-06-03,250
2022-06-04,180
2022-06-05,110
2022-06-06,50
2022-06-07,50
2022-06-08,270
2022-06-09,290
2022-06-10,290
2022-06-11,20
2022-06-12,250
2022-06-13,360
2022-06-14,50
2022-06-15,70
2022-06-16,200
2022-06-17,180
